epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.05448264256119728,0.400894433259964,0.2395833283662796,0.03333333507180214
0,383,0.09658312797546387,0.4679953157901764,0.17458681762218475,0.08392857015132904,,,,
1,767,,,,,0.06964752823114395,0.387832909822464,0.30000001192092896,0.0416666679084301
1,767,0.09496243298053741,0.36809393763542175,0.5746212601661682,0.05535714328289032,,,,
2,1151,,,,,0.07764844596385956,0.3763996660709381,0.28977271914482117,0.05000000074505806
2,1151,0.17360419034957886,0.31966862082481384,0.8009828329086304,0.10178571939468384,,,,
3,1535,,,,,0.10356353223323822,0.37094682455062866,0.27023810148239136,0.06666667014360428
3,1535,0.34158188104629517,0.26811036467552185,0.934969425201416,0.21785715222358704,,,,
4,1919,,,,,0.14125248789787292,0.36585551500320435,0.3390567898750305,0.09583333879709244
4,1919,0.5510476231575012,0.2149478644132614,0.9865801334381104,0.39226192235946655,,,,
5,2303,,,,,0.15766024589538574,0.3673129677772522,0.35208332538604736,0.1041666716337204
5,2303,0.7414286136627197,0.16289135813713074,0.9833772778511047,0.6017856597900391,,,,
6,2687,,,,,0.1928069293498993,0.37481698393821716,0.4575757682323456,0.13750001788139343
6,2687,0.8650214672088623,0.11690811067819595,0.9945808053016663,0.7678571343421936,,,,
7,3071,,,,,0.19420331716537476,0.38251855969429016,0.42023810744285583,0.12916666269302368
7,3071,0.9350132942199707,0.08102055639028549,0.9959847927093506,0.8821428418159485,,,,
8,3455,,,,,0.21469885110855103,0.39741548895835876,0.546875,0.14166668057441711
8,3455,0.9692602157592773,0.05479195713996887,0.998099684715271,0.9422618746757507,,,,
9,3839,,,,,0.2084098905324936,0.41458389163017273,0.558779776096344,0.13750001788139343
9,3839,0.987933874130249,0.03679164499044418,0.9987893104553223,0.9773809313774109,,,,
