epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.0911920815706253,0.36808666586875916,0.2232142835855484,0.05833333358168602
0,383,0.09810198843479156,0.41658273339271545,0.25887173414230347,0.06190476566553116,,,,
1,767,,,,,0.25324174761772156,0.3330965042114258,0.691319465637207,0.2291666865348816
1,767,0.2898740768432617,0.3207527697086334,0.5697925090789795,0.20178571343421936,,,,
2,1151,,,,,0.3844998776912689,0.32264548540115356,0.5978693962097168,0.3541666865348816
2,1151,0.4751043915748596,0.26090097427368164,0.6802030205726624,0.38154762983322144,,,,
3,1535,,,,,0.4936686158180237,0.32185691595077515,0.5996131896972656,0.4583333432674408
3,1535,0.6327240467071533,0.19986802339553833,0.7641381621360779,0.5523809194564819,,,,
4,1919,,,,,0.47715383768081665,0.35357922315597534,0.5892094373703003,0.4416666626930237
4,1919,0.7824249267578125,0.1365937739610672,0.863193154335022,0.7196428775787354,,,,
5,2303,,,,,0.4470832943916321,0.4401260316371918,0.552935779094696,0.4166666567325592
5,2303,0.903507649898529,0.07159075886011124,0.9288774728775024,0.8803571462631226,,,,
6,2687,,,,,0.4983710050582886,0.47293606400489807,0.5795540809631348,0.44999998807907104
6,2687,0.972065806388855,0.028261957690119743,0.9833616614341736,0.961309552192688,,,,
7,3071,,,,,0.49747341871261597,0.5025628805160522,0.5752243995666504,0.4416666626930237
7,3071,0.9957901835441589,0.008913404308259487,0.9975839853286743,0.9940476417541504,,,,
8,3455,,,,,0.5151184797286987,0.539736270904541,0.59125816822052,0.46666666865348816
8,3455,0.9991049766540527,0.0034512390848249197,0.9994019269943237,0.9988095164299011,,,,
9,3839,,,,,0.4923904836177826,0.5680049061775208,0.5957778692245483,0.42916667461395264
9,3839,1.0,0.0014438448706641793,1.0,1.0,,,,
