epoch,step,train/f1,train/loss,train/precision,train/recall,val/f1,val/loss,val/precision,val/recall
0,383,,,,,0.11730559170246124,0.3693654239177704,0.5370192527770996,0.07500000298023224
0,383,0.13601064682006836,0.4090465307235718,0.33121880888938904,0.08690476417541504,,,,
1,767,,,,,0.28234684467315674,0.4102177023887634,0.5460312962532043,0.25
1,767,0.4732196629047394,0.26427140831947327,0.7291042804718018,0.3523809611797333,,,,
2,1151,,,,,0.3087811768054962,0.48953977227211,0.4665939211845398,0.28333336114883423
2,1151,0.7958171963691711,0.13633285462856293,0.8756782412528992,0.7303571701049805,,,,
3,1535,,,,,0.3002670407295227,0.5699514746665955,0.4434266984462738,0.23750001192092896
3,1535,0.9762259721755981,0.029471324756741524,0.9854030013084412,0.9672619104385376,,,,
4,1919,,,,,0.31222593784332275,0.5981955528259277,0.43152549862861633,0.26249998807907104
4,1919,0.9964185953140259,0.00831520278006792,0.9982056617736816,0.9946428537368774,,,,
5,2303,,,,,0.31884104013442993,0.6467598676681519,0.5129977464675903,0.24583333730697632
5,2303,0.9994033575057983,0.0026931699831038713,1.0,0.9988095164299011,,,,
6,2687,,,,,0.3159312605857849,0.6779853701591492,0.5067932605743408,0.24166667461395264
6,2687,1.0,0.0013240835396572948,1.0,1.0,,,,
7,3071,,,,,0.29318273067474365,0.6940441131591797,0.4665674567222595,0.22083333134651184
7,3071,1.0,0.0008139344281516969,1.0,1.0,,,,
8,3455,,,,,0.3152139186859131,0.7157686948776245,0.49315476417541504,0.24166667461395264
8,3455,1.0,0.0005704155773855746,1.0,1.0,,,,
9,3839,,,,,0.3118712604045868,0.7306307554244995,0.49411702156066895,0.23750001192092896
9,3839,1.0,0.0004201992123853415,1.0,1.0,,,,
